"fot_codigo","POR_CULT","POR_CIELO","POR_PAISAJE","PAN_DET","HERBÁCEO O LEÑOSO","AB_REV"
"1872477",16.12,43.24,3.13,"Panorámica","H",0
"1872491",17.73,29.61,2.68,"Panorámica","H",0
"1872492",13.46,42.05,0.00,"Panorámica","H",0
"1872493",32.87,31.12,3.34,"Panorámica","H",0
"1872494",24.15,31.05,0.00,"Panorámica","H",0
"1872495",21.89,27.52,1.69,"Panorámica","H",0
"1872496",19.03,21.33,0.00,"Panorámica","H",0
"1872498",29.62,32.72,0.00,"Panorámica","H",0
"1872501",14.22,31.58,0.00,"Panorámica","H",0
"1872503",46.54,21.71,0.00,"Panorámica","H",0
"1872504",21.54,30.65,0.00,"Panorámica","H",0
"1872505",27.28,30.85,0.00,"Panorámica","H",0
"1872507",40.65,28.20,0.00,"Panorámica","H",0
"1872508",42.00,13.40,0.00,"Panorámica","H",0
"1872542",70.66,7.61,0.00,"Panorámica","H",0
"1872552",28.88,14.12,1.53,"Panorámica","H",0
"1872557",55.60,3.28,0.00,"Detalle","H",0
"1872564",62.68,14.05,0.00,"Detalle","H",0
"1872574",40.07,40.61,0.00,"Panorámica","H",0
"1872579",27.86,41.59,0.00,"Panorámica","H",0
"1872580",10.01,34.12,0.00,"Panorámica","H",0
"1872583",29.06,36.47,0.00,"Panorámica","H",0
"1872585",15.17,38.98,0.00,"Panorámica","H",0
"1872587",49.38,20.49,0.00,"Panorámica","H",0
"1872605",43.68,29.84,0.00,"Panorámica","H",0
"1872608",35.61,18.41,0.00,"Panorámica","H",0
"1872609",60.85,20.98,3.52,"Panorámica","H",0
"1872612",45.20,26.12,1.09,"Panorámica","H",0
"1872614",53.97,11.65,0.00,"Panorámica","H",0
"1872615",11.52,19.60,0.00,"Panorámica","H",0
"1872618",46.01,17.92,0.00,"Panorámica","H",0
"1872631",60.53,19.22,0.00,"Panorámica","H",0
"1872635",26.08,30.82,0.00,"Panorámica","H",0
"1872646",12.58,34.66,0.00,"Panorámica","H",0
"1872666",36.53,26.96,4.20,"Panorámica","H",0
"1872696",56.86,0.00,21.02,"Panorámica","H",0
"1872711",31.72,42.39,0.00,"Panorámica","H",0
"1872713",26.74,25.42,0.00,"Panorámica","H",0
"1872715",43.02,26.47,0.00,"Panorámica","H",0
"1872716",9.44,28.69,0.00,"Panorámica","H",0
"1872717",26.33,28.85,1.69,"Panorámica","H",0
"1872731",23.82,30.56,1.79,"Panorámica","H",0
"1872742",25.43,43.93,0.00,"Panorámica","H",0
"1872744",54.34,28.46,0.00,"Panorámica","H",0
"1872746",28.80,20.62,0.00,"Panorámica","H",0
"1872748",24.61,26.48,0.00,"Panorámica","H",0
"1872755",20.75,26.60,0.00,"Panorámica","H",0
"1872762",39.99,26.10,0.00,"Panorámica","H",0
"1872763",32.30,21.72,1.88,"Panorámica","H",0
"1872766",70.36,7.92,0.00,"Detalle","H",0
"1872767",62.56,14.94,0.00,"Detalle","H",0
"1872770",34.16,23.33,0.00,"Panorámica","H",0
"1872771",34.26,18.96,0.00,"Panorámica","H",0
"1872772",25.61,24.54,0.00,"Panorámica","H",0
"1872774",29.37,21.56,0.00,"Panorámica","H",0
"1872777",45.24,25.35,0.00,"Panorámica","H",0
"1872779",47.04,18.59,1.55,"Panorámica","H",0
"1872787",28.02,33.38,0.00,"Panorámica","H",0
"1872790",49.90,16.50,0.00,"Panorámica","H",0
"1872799",79.79,6.52,0.00,"Detalle","H",0
"1872804",43.80,21.36,2.12,"Panorámica","H",0
"1872823",17.16,29.51,2.01,"Panorámica","H",0
"1872849",12.34,27.42,0.00,"Panorámica","H",0
"1872855",29.97,17.64,2.75,"Panorámica","H",0
"1872856",25.58,32.11,0.00,"Panorámica","H",0
"1872881",12.72,31.79,0.00,"Panorámica","H",0
"1872899",49.73,25.67,0.00,"Panorámica","H",0
"1872900",30.77,26.33,7.91,"Panorámica","H",0
"1872936",45.71,20.01,2.16,"Panorámica","H",0
"1872942",19.73,40.34,0.00,"Panorámica","H",0
"1872966",37.86,16.23,0.00,"Panorámica","H",0
"1872973",13.77,20.93,0.00,"Panorámica","H",0
"1872976",45.92,25.55,0.00,"Panorámica","H",0
"1872977",12.53,18.91,1.10,"Panorámica","H",0
"1872986",39.03,24.53,0.00,"Panorámica","H",0
"1872987",75.18,12.38,0.00,"Detalle","H",0
"1872989",15.24,37.60,0.00,"Panorámica","H",0
"1872999",42.60,35.48,0.00,"Panorámica","H",0
"1873005",27.42,21.43,0.00,"Panorámica","H",0
"1873008",55.56,6.21,0.00,"Detalle","H",0
"1873011",43.49,17.33,10.06,"Panorámica","H",0
"1873015",28.05,30.97,0.00,"Panorámica","H",0
"1873316",31.83,50.54,0.00,"Panorámica","H",0
"1873318",45.32,44.63,1.69,"Panorámica","H",0
"1873322",40.66,40.42,0.00,"Panorámica","H",0
"1873325",8.09,38.75,1.12,"Panorámica","H",0
"1873326",21.20,34.51,0.00,"Panorámica","H",0
"1873335",34.12,40.35,0.00,"Panorámica","H",0
"1873343",15.26,55.63,0.00,"Panorámica","H",0
"1873344",10.55,42.92,0.00,"Panorámica","H",0
