"ABANDONADO","CULT","MALEZA","DESCAMPADO","VEGETACION","CIELO","SUELO_DESNUDO","PAISAJE"
"ABANDONO",7.01,48.35,2.43,26.04,10.15,0.00,6.00
"ABANDONO",7.12,85.92,2.13,0.00,4.82,0.00,0.00
"ABANDONO",18.56,11.21,0.00,67.55,2.66,0.00,0.00
"NO ABANDONO",38.55,0.00,29.89,3.63,27.91,0.00,0.00
"NO ABANDONO",50.86,0.00,32.14,16.99,0.00,0.00,0.00
"NO ABANDONO",43.28,2.30,54.40,0.00,0.00,0.00,0.00
"ABANDONO",33.32,47.82,0.00,13.61,5.22,0.00,0.00
"ABANDONO",36.33,56.52,0.00,7.13,0.00,0.00,0.00
"ABANDONO",32.36,52.08,0.00,4.99,10.55,0.00,0.00
"ABANDONO",21.76,59.06,0.00,11.13,8.03,0.00,0.00
"NO ABANDONO",18.02,8.95,38.21,8.03,26.77,0.00,0.00
"NO ABANDONO",48.76,8.29,30.48,0.00,0.00,0.00,12.45
"ABANDONO",38.87,61.12,0.00,0.00,0.00,0.00,0.00
"ABANDONO",22.09,39.59,0.00,6.03,0.00,0.00,32.28
"NO ABANDONO",76.47,0.00,0.00,0.00,23.52,0.00,0.00
"ABANDONO",22.95,40.11,0.00,25.59,0.00,0.00,11.33
"ABANDONO",12.17,65.17,0.00,7.74,0.00,0.00,14.90
"ABANDONO",0.00,75.67,1.25,0.00,6.63,0.00,16.43
"ABANDONO",0.00,61.95,0.00,0.00,26.74,0.00,11.30
"ABANDONO",25.72,57.91,10.87,2.12,3.36,0.00,0.00
"ABANDONO",0.00,29.17,19.55,51.27,0.00,0.00,0.00
"ABANDONO",5.02,16.96,0.00,20.40,30.01,0.00,8.33
"NO ABANDONO",31.22,0.00,53.61,0.00,8.28,0.00,6.87
"NO ABANDONO",59.69,1.91,23.79,0.00,0.00,0.00,14.59
