"fot_codigo","POR_CULT","POR_CIELO","POR_PAISAJE","PAN_DET","HERBACEO O LENOSO","AB_REV"
"1911412",46.66,10.54,0.00,"Panorámica","H",0
"1911415",81.28,0.00,0.00,"Panorámica","H",0
"1911416",71.53,0.00,0.00,"Detalle","H",0
"1911420",54.16,16.87,0.00,"Panorámica","H",0
"1911421",46.76,0.00,0.00,"Detalle","H",0
"1911440",51.51,27.57,0.00,"Panorámica","H",0
"1911447",19.45,22.87,13.44,"Panorámica","H",0
"1911460",47.17,0.00,1.83,"Panorámica","H",0
"1911483",32.90,37.45,4.18,"Panorámica","H",0
"1911488",25.72,18.78,0.00,"Panorámica","H",0
"1911489",10.90,24.73,0.00,"Panorámica","H",0
"1911498",57.81,8.73,15.07,"Panorámica","H",0
"1911501",23.61,1.04,0.00,"Panorámica","H",0
"1911502",31.64,19.64,1.71,"Panorámica","H",0
"1911511",31.36,16.54,0.00,"Panorámica","H",0
"1911542",44.78,27.68,2.17,"Panorámica","H",0
"1911553",15.86,41.24,0.00,"Panorámica","H",0
"1911554",13.47,50.09,2.15,"Panorámica","H",0
"1911561",50.70,20.32,1.50,"Panorámica","H",0
"1911576",34.07,21.77,7.61,"Panorámica","H",0
"1911577",58.64,5.68,18.08,"Panorámica","H",0
"1911578",28.52,23.10,19.23,"Panorámica","H",0
"1911583",54.59,0.00,0.00,"Detalle","H",0
"1911587",43.37,9.97,0.00,"Panorámica","H",0
"1911588",44.28,3.70,0.00,"Panorámica","H",0
"1911589",50.47,4.18,1.57,"Detalle","H",0
"1911592",37.64,23.77,0.00,"Panorámica","H",0
"1911594",47.07,1.94,0.00,"Panorámica","H",0
"1911604",7.37,3.00,11.28,"Panorámica","H",0
"1911636",43.47,0.00,5.10,"Panorámica","H",0
"1911641",54.11,25.48,5.08,"Panorámica","H",0
"1911642",45.63,38.85,10.06,"Panorámica","H",0
"1911643",29.03,47.86,0.00,"Panorámica","H",0
"1911652",59.79,3.38,0.00,"Panorámica","H",0
"1911661",62.91,0.00,0.00,"Panorámica","H",0
"1911666",33.45,30.38,0.00,"Panorámica","H",0
"1911671",59.08,24.85,1.60,"Panorámica","H",0
"1911709",57.49,8.03,8.03,"Detalle","H",0
"1911746",70.13,8.23,0.00,"Detalle","H",0
"1911748",49.98,10.50,8.87,"Panorámica","H",0
"1911749",51.61,24.73,0.00,"Panorámica","H",0
"1911750",81.59,0.00,0.00,"Panorámica","H",0
"1911751",45.37,3.40,0.00,"Panorámica","H",0
"1911752",42.96,18.64,1.07,"Panorámica","H",0
"1911753",20.54,41.68,0.00,"Panorámica","H",0
"1911754",39.28,28.80,0.00,"Panorámica","H",0
"1911755",39.57,20.79,0.00,"Panorámica","H",0
"1911756",72.21,7.79,0.00,"Panorámica","H",0
"1911759",51.53,0.00,13.63,"Panorámica","H",0
"1911760",26.01,39.06,0.00,"Panorámica","H",0
"1911761",40.53,26.73,5.75,"Panorámica","H",0
"1911762",38.11,30.67,4.40,"Panorámica","H",0
"1911763",56.30,23.29,0.00,"Panorámica","H",0
"1911764",43.40,29.32,3.91,"Panorámica","H",0
"1911765",83.88,2.19,0.00,"Panorámica","H",0
